index,file_index,file_entry_index,run,subrun,event,is_primary,pid,start_point_x,start_point_y,start_point_z,momentum_x,momentum_y,momentum_z,start_dir_x,start_dir_y,start_dir_z,ke
8360,577,12,0,0,587000013,True,1,-9223372013568.0,-9223372013568.0,-9223372013568.0,857.9842529296875,-715.16748046875,8550.0859375,0.0995025634765625,-0.0829397439956665,0.9915746450424194,8622.7353515625
8362,577,14,0,0,587000015,True,1,-13.05316162109375,-3.445297241210937,729.1138916015625,514.5807495117188,-482.5267028808594,5879.16455078125,0.0869028344750404,-0.0814895182847976,0.9928783178329468,5919.942687015328
8363,577,15,0,0,587000016,True,1,258.33837890625,-58.50129699707031,800.5379028320312,356.5888366699219,-2004.1097412109373,14130.150390625,0.0249781683087348,-0.1403829455375671,0.9897821545600892,14276.0205078125
8364,577,16,0,0,587000017,True,1,-84.48828125,-45.853302001953125,729.1138916015625,-344.387451171875,-438.5276184082031,2233.5693359375,-0.1495960056781768,-0.1904888749122619,0.9702242016792296,2301.5718856426925
8365,577,17,0,0,587000018,True,1,300.0537109375,-160.80130004882812,695.701904296875,-522.3463745117188,638.7149658203125,2844.060302734375,-0.1763890534639358,0.215685099363327,0.960399329662323,2961.3310546875
8366,578,0,0,0,588000000,True,1,323.11083984375,-119.13729858398438,722.7899169921875,-5.59166431427002,29.048397064208984,-21.678607940673828,-0.1524662673473358,0.7920541167259216,-0.59110426902771,36.1672377531219
8369,578,3,0,0,588000003,True,1,-342.2522888183594,-60.36129760742188,475.2419128417969,1193.57421875,-781.7566528320312,12904.4970703125,0.0919326618313789,-0.0602132380008697,0.9939430356025696,12980.748260969463
8370,578,4,0,0,588000004,True,1,-231.74761962890625,-99.79330444335938,690.1218872070312,-257.075927734375,-208.1324920654297,2230.04736328125,-0.1140307411551475,-0.09232097864151,0.9891783595085144,2253.320129250385
8371,578,5,0,0,588000005,True,1,-346.7383117675781,16.6427001953125,691.6099243164062,140.21755981445312,169.32444763183594,2302.64404296875,0.0606185011565685,0.0732019171118736,0.9954732060432434,2312.0724027916744
8372,578,6,0,0,588000006,True,1,227.58087158203125,-151.12930297851562,534.6939086914062,459.7008361816406,443.9932556152344,1963.2138671875,0.2226561903953552,0.2150482237339019,0.9508830308914183,2064.621826171875
8373,578,7,0,0,588000007,True,1,319.9179077148437,-125.46129608154295,518.325927734375,-224.44338989257807,-136.1392822265625,1362.6629638671875,-0.1617356687784195,-0.0981030389666557,0.9819456338882446,1387.345100480482
8375,578,9,0,0,588000010,True,1,332.881103515625,-179.40130615234375,629.1138916015625,248.5813140869141,-1979.958984375,10522.0517578125,0.0232110656797885,-0.1848769634962082,0.9824874997138976,10709.6025390625
8376,578,10,0,0,588000011,True,1,156.374755859375,-97.56130981445312,496.0739135742188,-181.54690551757807,-46.223052978515625,3032.068603515625,-0.0597616322338581,-0.0152157098054885,0.9980967044830322,3037.4234082085945
8379,578,13,0,0,588000014,True,1,114.02700805664062,-132.90130615234375,420.1859130859375,510.55950927734375,-921.3111572265624,11116.240234375,0.0457243397831916,-0.082510158419609,0.9955406785011292,11162.952084830044
8381,579,1,0,0,589000001,True,1,-231.2527313232422,-67.05729675292969,487.1459045410156,-34.04806137084961,162.3763885498047,409.4225463867188,-0.0770736113190651,0.367566704750061,0.9267979264259338,441.2526965776214
8383,579,3,0,0,589000003,True,1,-261.64306640625,62.77069091796875,806.8618774414062,850.7135620117188,-593.0199584960938,4455.142578125,0.1859791725873947,-0.1296433508396148,0.97396320104599,4573.431372085401
8384,579,4,0,0,589000004,True,1,332.3223876953125,-174.19329833984375,426.88189697265625,-96.89544677734376,-2543.21826171875,29717.40234375,-0.0032486701384186,-0.085267961025238,0.9963526725769044,29826.185546875
8385,579,5,0,0,589000005,True,1,253.26171875,-151.87330627441406,554.7819213867188,625.6210327148438,-1554.8482666015625,4134.5830078125,0.1402310132980346,-0.3485144376754761,0.9267539978027344,4461.35986328125
8386,579,6,0,0,589000006,True,1,-293.3166809082031,-76.3572998046875,758.5018920898438,806.341796875,-1311.927734375,8759.63671875,0.090661697089672,-0.1475076675415039,0.9848968982696532,8893.962890625
8388,579,8,0,0,589000008,True,1,-18.80038452148437,4.36669921875,434.6939086914063,-309.05133056640625,-1190.3756103515625,4764.18603515625,-0.0628106743097305,-0.2419283986091613,0.9682589769363404,4917.992163372575
